#  218021700
BUMP  0.908418238  1.00000000  P
BURN  1.66743970  1.00000000  S
BURN  0.952822626  1.00000000  P
CVCR  1.36005247  1.00000000  S
CVCR  0.777172744  1.00000000  P
FLIP  1.66064131  1.00000000  S
FLIP  0.949114263  1.00000000  P
KOOL  1.45070863  1.00000000  S
KOOL  0.829114497  1.00000000  P
PIES  1.63999546  1.00000000  S
PIES  0.937383235  1.00000000  P
PIGH  1.71503508  1.00000000  S
PIGH  0.980020165  1.00000000  P
TANK  1.33532548  1.00000000  S
TANK  0.763212383  1.00000000  P
#  359010801
BUMP  1.60117292  1.00000000  S
BUMP  0.914955854  1.00000000  P
BURN  1.72495556  1.00000000  S
BURN  0.985688865  1.00000000  P
CVCR  1.33747184  1.00000000  S
CVCR  0.764269710  1.00000000  P
FLIP  0.899396300  1.00000000  P
FLIP  1.57346141  1.00000000  S
KOOL  1.48952007  1.00000000  S
KOOL  0.851154327  1.00000000  P
PIES  1.67837787  1.00000000  S
PIES  0.959302664  1.00000000  P
PIGH  1.72140813  1.00000000  S
PIGH  0.983661890  1.00000000  P
TANK  0.751966894  1.00000000  P
TANK  1.31594217  1.00000000  S
#  99080501
BUMP  1.55231571  1.00000000  S
BUMP  0.887037694  1.00000000  P
BURN  1.63303018  1.00000000  S
BURN  0.933160245  1.00000000  P
FLIP  0.971503735  1.00000000  P
FLIP  1.69981122  1.00000000  S
CVCR  0.791109443  1.00000000  P
CVCR  1.38444149  1.00000000  S
KOOL  0.834440231  1.00000000  P
KOOL  1.45996141  1.00000000  S
PIES  1.66682994  1.00000000  S
PIES  0.952474236  1.00000000  P
PIGH  0.947976172  1.00000000  P
PIGH  1.65895844  1.00000000  S
TANK  1.35367548  1.00000000  S
TANK  0.774494052  1.00000000  P
#  217043101
BUMP  1.54420733  1.00000000  S
BUMP  0.882404327  1.00000000  P
BURN  1.63965619  1.00000000  S
BURN  0.936946511  1.00000000  P
KOOL  1.45686269  1.00000000  S
KOOL  0.832675993  1.00000000  P
PIES  1.65724540  1.00000000  S
PIES  0.946997404  1.00000000  P
PIGH  1.67974901  1.00000000  S
PIGH  0.959856629  1.00000000  P
TANK  1.38889253  1.00000000  S
TANK  0.794563472  1.00000000  P
#  23075300
CVCR  0.772087455  1.00000000  P
CVCR  1.35115314  1.00000000  S
