218021700 35.98636 -120.54102 2.32600
218021701 35.98713 -120.54248 2.19900
218021702 35.98886 -120.53558 2.95400
198000000 35.97905 -120.53977 2.45000
198000001 35.97945 -120.53944 2.39500
293232200 35.98429 -120.54319 2.56800
310202900 35.98607 -120.54851 2.38700
356102400 35.98643 -120.53992 2.70200
359010800 35.98430 -120.53722 2.57600
99080500 35.98488 -120.54168 2.39300
217043100 35.98477 -120.54249 2.63900
293232201 35.98632 -120.54211 2.73000
310202901 35.98662 -120.54530 2.59100
356102401 35.98638 -120.53962 2.75000
359010801 35.98412 -120.53634 2.69600
99080501 35.98616 -120.54113 2.74100
217043101 35.98758 -120.54305 2.81400
23075300 35.98800 -120.53617 2.87600
23075301 35.98552 -120.54044 2.17900
125050100 35.97422 -120.55178 0.87900
125050200 35.97447 -120.55161 0.90500
125050300 35.97450 -120.55116 0.91400
125050400 35.97449 -120.55139 0.93000
125050500 35.97447 -120.55127 0.94900
125050600 35.97447 -120.55189 0.95000
125050700 35.97455 -120.55171 0.94100
125050800 35.97450 -120.55133 0.94800
125050900 35.97465 -120.55164 0.97300
125051000 35.97483 -120.55117 0.94800
125051100 35.97461 -120.55164 0.97700
125051200 35.97473 -120.55133 1.10000
125051300 35.97492 -120.55131 1.08400
125051400 35.97477 -120.55134 1.09200
125051500 35.97500 -120.55113 1.08600
125051600 35.97512 -120.55100 1.06600
125051700 35.97511 -120.55110 1.12300
125051800 35.97519 -120.55113 1.11200
125051900 35.97502 -120.55114 1.13400
125052000 35.97523 -120.55106 1.12900
125052100 35.97545 -120.55106 1.15400
125052200 35.97527 -120.55090 1.18200
125052300 35.97543 -120.55091 1.18300
125052400 35.97558 -120.55072 1.17900
125052500 35.97548 -120.55065 1.19200
125052600 35.97561 -120.55081 1.22400
125052700 35.97594 -120.55065 1.21000
125052800 35.97598 -120.55064 1.23400
125052900 35.97622 -120.55059 1.23000
125053000 35.97618 -120.55046 1.23900
125053100 35.97611 -120.55062 1.27900
125053200 35.97610 -120.55027 1.27100
125053300 35.97626 -120.54999 1.27300
125053400 35.97649 -120.55001 1.28300
125053500 35.97654 -120.54993 1.29800
125053600 35.97668 -120.55011 1.32100
125053700 35.97673 -120.55007 1.33800
125053800 35.97673 -120.54974 1.33700
125053900 35.97688 -120.54968 1.32700
125054000 35.97693 -120.54950 1.34200
125054200 35.97728 -120.54989 1.35600
125054300 35.97735 -120.54949 1.36800
125054400 35.97751 -120.54950 1.38000
125054500 35.97731 -120.54916 1.39500
125054600 35.97724 -120.54909 1.41200
125054700 35.97762 -120.54905 1.39800
125054800 35.97777 -120.54906 1.40200
125054900 35.97774 -120.54893 1.41700
125055000 35.97789 -120.54883 1.43400
125055100 35.97797 -120.54875 1.44600
125055200 35.97794 -120.54861 1.45700
125055300 35.97810 -120.54851 1.46200
125055400 35.97819 -120.54845 1.46600
125055500 35.97827 -120.54830 1.48900
125055600 35.97815 -120.54812 1.49300
125055700 35.97846 -120.54835 1.51700
125055800 35.97841 -120.54815 1.50400
125055900 35.97865 -120.54822 1.52400
125056000 35.97890 -120.54815 1.55600
125056100 35.97894 -120.54804 1.57100
125056200 35.97895 -120.54783 1.56900
125056300 35.97903 -120.54769 1.54500
125056400 35.97910 -120.54775 1.56400
125056500 35.97914 -120.54750 1.55000
125056600 35.97946 -120.54746 1.55600
125056700 35.97960 -120.54752 1.60500
125056800 35.97936 -120.54711 1.58800
125056900 35.97951 -120.54721 1.63600
125057000 35.97950 -120.54708 1.61600
125057100 35.97952 -120.54691 1.65000
125057200 35.97957 -120.54703 1.66500
125057300 35.97980 -120.54678 1.65000
125057400 35.98005 -120.54675 1.66600
125057500 35.98000 -120.54673 1.67100
125057600 35.98006 -120.54662 1.66700
