 S252   35.97477 -120.55138 -1037.0000
 S253   35.97482 -120.55137 -1051.0000
 S254   35.97487 -120.55132 -1065.0000
 S255   35.97493 -120.55128 -1078.0000
 S256   35.97498 -120.55125 -1092.0000
 S257   35.97505 -120.55120 -1104.0000
 S258   35.97512 -120.55115 -1117.0000
 S259   35.97518 -120.55112 -1130.0000
 S260   35.97525 -120.55107 -1142.0000
 S263   35.97548 -120.55090 -1177.0000
 S264   35.97557 -120.55083 -1188.0000
 S265   35.97565 -120.55078 -1198.0000
 S266   35.97573 -120.55070 -1208.0000
 S267   35.97582 -120.55063 -1219.0000
 S268   35.97592 -120.55057 -1229.0000
 S269   35.97600 -120.55050 -1239.0000
 S270   35.97608 -120.55043 -1249.0000
 S271   35.97617 -120.55037 -1259.0000
 S272   35.97625 -120.55028 -1269.0000
 S274   35.97642 -120.55013 -1288.0000
 S275   35.97652 -120.55007 -1298.0000
 S276   35.97660 -120.54998 -1307.0000
 S279   35.97685 -120.54973 -1335.0000
 S301   35.97437 -120.55168 -878.0000
 S302   35.97438 -120.55165 -893.0000
 S303   35.97440 -120.55163 -908.0000
 S304   35.97443 -120.55162 -923.0000
 S305   35.97447 -120.55160 -937.0000
 S306   35.97450 -120.55157 -952.0000
 S307   35.97453 -120.55155 -966.0000
 S308   35.97458 -120.55152 -980.0000
 S309   35.97463 -120.55148 -994.0000
 S310   35.97468 -120.55145 -1008.0000
 S311   35.97473 -120.55142 -1022.0000
 S312   35.97477 -120.55138 -1037.0000
 S313   35.97482 -120.55137 -1051.0000
 S314   35.97487 -120.55132 -1064.0000
 S315   35.97492 -120.55128 -1078.0000
 S316   35.97498 -120.55125 -1091.0000
 S317   35.97505 -120.55120 -1104.0000
 S318   35.97512 -120.55115 -1117.0000
 S319   35.97518 -120.55112 -1129.0000
 S320   35.97525 -120.55107 -1142.0000
 S321   35.97533 -120.55102 -1154.0000
 S322   35.97540 -120.55097 -1165.0000
 S323   35.97548 -120.55090 -1177.0000
 S324   35.97557 -120.55085 -1187.0000
 S325   35.97565 -120.55078 -1198.0000
 S326   35.97573 -120.55072 -1208.0000
 S327   35.97582 -120.55063 -1218.0000
 S328   35.97592 -120.55057 -1228.0000
 S329   35.97600 -120.55050 -1239.0000
 S330   35.97608 -120.55043 -1249.0000
 S331   35.97617 -120.55037 -1259.0000
 S332   35.97625 -120.55028 -1269.0000
 S333   35.97633 -120.55022 -1279.0000
 S334   35.97642 -120.55013 -1288.0000
 S335   35.97652 -120.55007 -1298.0000
 S336   35.97660 -120.54998 -1307.0000
 S337   35.97668 -120.54990 -1317.0000
